影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
天才眼镜狗,罗伯·明可夫,杰伊·沃德;克雷格·赖特,泰·布利尔;麦克斯·查尔斯;罗莉·弗雷泽;吉约姆·阿瑞托斯;帕特里斯·A·缪吉克;阿芮尔·温特;卡兰·布拉尔;约书亚·拉什;斯蒂芬·托布罗斯基;艾莉森·珍妮;丹尼斯·海斯伯特;史蒂芬·寇贝尔;莱斯利·曼恩;扎克·卡利森;史蒂夫·瓦伦丁,喜剧;科幻;动画;冒险,美国,英语 / 西班牙语,2014-03-28(中国大陆);2014-02-07(英国);2014-03-07(美国)
少年时代,理查德·林克莱特,理查德·林克莱特,埃拉·科尔特兰;帕特丽夏·阿奎特;伊桑·霍克;罗蕾莱·林克莱特;史蒂芬·切斯特·普林斯;利比·维拉利;马可·佩雷拉;杰米·霍华德;安德鲁·维拉利尔;谢恩·格雷厄姆;苔丝·艾伦;戴维·布莱克维尔;塔玛拉·若兰恩;埃薇·汤普森;布拉德·霍金斯;尼克·克劳斯;梅根·迪瓦恩;詹妮·图利;理查德·琼斯;山姆·狄龙;佐伊·格瑞艾姆;理查德·罗比查乌克斯;克里斯·杜贝克;安德里亚·陈;莫娜·李·富尔茨;比尔·怀斯;马克西米利安·麦克纳马拉;泰勒·韦弗;杰西·梅希勒,剧情;家庭,美国,英语 / 西班牙语,2014-01-19(圣丹斯电影节);2014-08-15(美国)
内布拉斯加,亚历山大·佩恩,鲍勃·尼尔森,布鲁斯·邓恩;威尔·福特;琼·斯奎布;鲍勃·奥登科克;斯泰西·基齐;玛丽·路易丝·威尔逊;兰斯·霍华德;蒂姆·德里斯科尔;戴文·雷特瑞;安吉拉·迈克伊万;格伦多拉·斯蒂特;伊丽莎白·穆尔;凯文·孔克尔;丹尼斯·麦科伊格;罗纳德·沃斯塔;米茜·多蒂,剧情;喜剧;家庭,美国,英语 / 西班牙语,2013-05-23(戛纳电影节);2013-11-22(美国)
云图,汤姆·提克威;拉娜·沃卓斯基;莉莉·沃卓斯基,汤姆·提克威;莉莉·沃卓斯基;拉娜·沃卓斯基,汤姆·汉克斯;哈莉·贝瑞;吉姆·布劳德本特;雨果·维文;吉姆·斯特吉斯;裴斗娜;本·卫肖;詹姆斯·达西;周迅;凯斯·大卫;大卫·吉雅西;苏珊·萨兰登;休·格兰特,剧情;科幻;悬疑,德国 / 美国 / 香港 / 中国大陆 / 新加坡,英语 / 西班牙语,2013-01-31(中国大陆);2012-10-26(美国)
恶灵入侵,胡安·卡洛斯·弗雷斯纳迪罗,Nicolás Casariego;Jaime Marqués,克里夫·欧文;Izán Corchero;卡里斯·范·侯登;丹尼尔·布鲁尔,惊悚;恐怖,美国 / 英国 / 西班牙,英语 / 西班牙语,2011-10-07(西班牙)
玩具总动员3,李·昂克里奇,迈克尔·阿恩特;约翰·拉塞特;安德鲁·斯坦顿;李·昂克里奇,汤姆·汉克斯;蒂姆·艾伦;琼·库萨克;尼德·巴蒂;唐·里克斯;迈克尔·基顿,喜剧;动画;奇幻;冒险,美国,英语 / 西班牙语,2010-06-16(中国大陆);2010-06-18(美国)
阿凡达,詹姆斯·卡梅隆,詹姆斯·卡梅隆,萨姆·沃辛顿;佐伊·索尔达娜;西格妮·韦弗;史蒂芬·朗;米歇尔·罗德里格兹;吉奥瓦尼·瑞比西;乔·大卫·摩尔;希·庞德;韦斯·斯塔迪;拉兹·阿隆索;迪利普·劳;马特·杰拉德;肖恩·安东尼·莫兰,动作;科幻;战争;冒险,美国 / 英国,英语 / 西班牙语,2010-01-04(中国大陆);2009-12-18(美国)
绿灯侠：首次飞行,劳伦·蒙哥马利,艾伦·伯内特,克里斯托弗·米洛尼;维克多·加博;翠西亚·希弗;迈克尔·马德森;约翰·拉尔奎特;柯特伍德·史密斯;拉里·德雷克,动作;科幻;动画;冒险,美国,英语 / 西班牙语,2009-07-28(美国)
长矛的尖端,吉姆·哈农,Bill Ewing;巴特·加维根,路易·李奥纳多;查德·艾伦;杰克·古兹曼;克里斯蒂娜·索萨;切斯·埃利森;Chemo Mepaquito,剧情;冒险,美国,英语 / 西班牙语,2006-01-20(美国)
天生冤家,霍华德·达奇,尼尔·西蒙,沃尔特·马修;杰克·莱蒙;理查德·里尔,喜剧;冒险,美国,英语 / 西班牙语,1998-04-10(美国)
怪兽,加里斯·爱德华斯,加里斯·爱德华斯,惠特尼·阿贝勒;斯科特·麦克纳里,剧情;爱情;科幻,英国,英语 / 西班牙语,2010/9/30
单身男子,汤姆·福特,汤姆·福特;克里斯托弗·艾什伍德,科林·费尔斯;朱丽安·摩尔;尼古拉斯·霍尔特;马修·古迪;金妮弗·古德温;芮安·辛普金斯;李·佩斯;洪·科塔哈雷纳;伊莉莎白·哈诺伊斯,剧情;同性,美国,英语 / 西班牙语,2009/12/11
